iter	Passed	Remaining
298	69014	623440
299	69261	623357
300	69492	623122
301	69734	622992
302	69972	622827
303	70211	622669
304	70439	622410
305	70681	622270
306	70933	622228
307	71175	622090
308	71405	621852
309	71643	621677
310	71880	621504
311	72117	621318
312	72349	621094
313	72573	620806
314	72807	620600
315	73041	620388
316	73277	620196
317	73506	619951
318	73749	619820
319	73982	619602
320	74215	619384
321	74450	619184
322	74685	618985
323	74919	618779
324	75157	618600
325	75391	618396
326	75638	618288
327	75870	618069
328	76117	617966
329	76350	617741
330	76590	617584
331	76833	617448
332	77064	617211
333	77295	616975
334	77536	616817
335	77776	616659
336	78006	616409
337	78241	616211
338	78476	616005
339	78717	615851
340	78941	615561
341	79181	615396
342	79421	615226
343	79683	615227
344	79909	614954
345	80147	614769
346	80378	614534
347	80612	614321
348	80854	614172
349	81084	613922
350	81325	613766
351	81551	613488
352	81800	613384
353	82026	613112
354	82264	612926
355	82492	612665
356	82729	612476
357	82964	612267
358	83195	612030
359	83425	611783
360	83669	611647
361	83914	611509
362	84154	611337
363	84384	611094
364	84618	610872
365	84859	610712
366	85087	610449
367	85323	610249
368	85560	610051
369	85798	609864
370	86036	609678
371	86288	609586
372	86521	609358
373	86755	609141
374	86971	608798
375	87198	608534
376	87434	608330
377	87672	608138
378	87902	607894
379	88122	607582
380	88354	607352
381	88573	607033
382	88800	606764
383	89014	606411
384	89241	606148
385	89466	605868
386	89686	605558
387	89923	605358
388	90147	605077
389	90376	604829
390	90598	604529
391	90826	604272
392	91051	603999
393	91271	603688
394	91490	603375
395	91711	603071
396	91945	602853
397	92164	602542
398	92387	602256
399	92598	601889
400	92824	601623
401	93052	601369
402	93276	601086
403	93494	600770
404	93709	600436
405	93936	600177
406	94158	599883
407	94383	599615
408	94604	599318
409	94832	599064
410	95045	598719
411	95269	598438
412	95493	598163
413	95703	597800
414	95930	597545
415	96149	597234
416	96368	596929
417	96576	596559
418	96797	596264
419	97022	595995
420	97245	595713
421	97464	595411
422	97691	595153
423	97922	594922
424	98142	594631
425	98369	594372
426	98590	594084
427	98820	593846
428	99050	593607
429	99262	593267
430	99483	592977
431	99700	592665
432	99922	592381
433	100156	592168
434	100385	591928
435	100600	591604
436	100817	591292
437	101048	591067
438	101265	590756
439	101494	590515
440	101705	590165
441	101929	589899
442	102147	589595
443	102362	589277
444	102581	588979
445	102802	588694
446	103023	588407
447	103247	588139
448	103472	587879
449	103684	587546
450	103910	587289
451	104130	587002
452	104349	586706
453	104577	586460
454	104784	586103
455	105020	585906
456	105253	585690
457	105482	585453
458	105699	585149
459	105927	584901
460	106147	584617
461	106368	584334
462	106584	584029
463	106804	583742
464	107024	583454
465	107240	583148
466	107463	582878
467	107687	582618
468	107896	582273
469	108118	582002
470	108336	581706
471	108562	581453
472	108782	581172
473	108998	580864
474	109207	580525
475	109417	580188
476	109646	579954
477	109869	579687
478	110096	579445
479	110325	579207
480	110550	578955
481	110766	578653
482	110976	578319
483	111210	578112
484	111429	577827
485	111658	577593
486	111874	577288
487	112090	576989
488	112300	576658
489	112520	576380
490	112728	576041
491	112947	575758
492	113169	575487
493	113385	575190
494	113605	574913
495	113815	574584
496	114051	574387
497	114270	574103
498	114487	573814
499	114712	573562
500	114928	573265
501	115147	572987
502	115362	572682
503	115578	572386
504	115788	572063
505	116010	571796
506	116235	571548
